['生活方式套房 (Lifestyle Suite)', '雷根套房 (Legian Suite)', '豪华套房 (Luxe Suite)']|l-hotel-seminyak,,,,,,
[]|seastone-private-pool-villas,,,,,,,,
[]|kata-sea-view-villas,,,,,,,,
[]|layan-villas,,,,,,,,
[]|le-piman-resort,,,,,,,,
[]|the-pe-la-resort,,,,,,,,
['豪华别墅(双人床) (Deluxe Villa Double bed)']|rawai-boutique-resort,,,,,,,,
[]|phuket-riviera-villas,,,,,,,,
[]|laguna-holiday-club-resort,,,,,,,,
[]|angsana-villas-resort-(formerly-outrigger-laguna-resort-and-villas),,,,,,,,
[]|ayara-hilltops-boutique-resort-spa,,,,,,,,
[]|andara-resort-villas,,,,,,,,
[]|doublepool-villa-by-banyan-tree,,,,,,,,
['Spa别墅 - 带私人泳池和无限按摩服务 (Spa Villa with Private Pool and Unlimited Massage)']|banyan-tree-spa-sanctuary,,,,,,,,
[]|anantara-vacation-club-mai-khao,,,,,,,,
[]|wanaburi-hotel-,,,,,,,,
[]|dream-sea-pool-villas,,,,,,,,
[]|sugar-palm-residence,,,,,,,,
['豪华泳池别墅 (Deluxe Pool Villa)', '海景泳池家庭别墅 (Family Pool Sea View Villa)']|niramaya-villa-wellness-resort,,,,,,,
['度假泳池别墅 (Hideaway Pool Villa)', '两卧室泳池度假别墅 (Hideaway Two-Bedroom Pool Villa )']|six-senses-yao-noi,,,,,,,
['单卧室泳池别墅 (1 Bedroom Pool Villa)', '双卧室泳池别墅 (2 Bedroom Pool Villa)']|the-8-pool-villa,,,,,,,
[]|phuket-lagoon-pool-villa,,,,,,,,
[]|happy-eight-resort,,,,,,,,
[]|khanitta-bukitta-airport-condominium,,,,,,,,
[]|ananta-thai-pool-villa-resort,,,,,,,,
[]|sangpathum-villa,,,,,,,,
[]|phuphasrirung-resort,,,,,,,,
[]|baannaraya-exclusive-pool-villa-residence,,,,,,,,
[]|villa-sunpao-resort-and-spa,,,,,,,,
['平房别墅 (Bungalow Villa)', '小屋客房(双床) (Bungalow Twin)', '豪华别墅 (Deluxe Villa)']|phuket-airport-villa,,,,,,
[]|the-pavilions--suites,,,,,,,,
[]|kokyang-estate-by-tropiclook,,,,,,,,
[]|rawai-vip-villas-kids-park,,,,,,,,
[]|recenta-suite-suanluang,,,,,,,,
[]|star-path-villa,,,,,,,,
['三卧室别墅 (3-Bedroom Villa)']|kata-hill-view-villas-by-kata-sea-view-villas,,,,,,,,
['独立泳池别墅 (Private Pool Villa)']|the-kara-pool-villa,,,,,,,,
['别墅单间 (Villa Studio)', '标准别墅 (Standard Villa)', '别墅单间房 (Villa Studio Room)', 'S Series客房 (S series)']|1715-house-caff-resort,,,,,
[]|sea-space-villa,,,,,,,,
[]|villa-chan-grajang-an-elite-haven,,,,,,,,
[]|yoosook-youyou-villa,,,,,,,,
[]|private-havana,,,,,,,,
[]|i-town-home-private-house,,,,,,,,
[]|wang-nam-jai-an-elite-haven,,,,,,,,
[]|ani-villas-thailand,,,,,,,,
[]|patong-loft-condo,,,,,,,,
[]|kamala-paradise,,,,,,,,
[]|the-view,,,,,,,,
[]|lespalm-luxury-pool-villa,,,,,,,,
[]|villa-chonsri-by-holiplanet,,,,,,,,
[]|the-promenade-villa-by-holiplanet,,,,,,,,
[]|dwell-at-chalong-hill,,,,,,,,
[]|anchan-private-pool-villa,,,,,,,,
[]|locals-villa-hotel,,,,,,,,
[]|favstay-passaorn,,,,,,,,
[]|saturdays-residence,,,,,,,,
[]|horizon-youyou-villa,,,,,,,,
[]|baan-mee,,,,,,,,
['双卧室豪华套房 (2 Bedroom Deluxe Suite)']|time-travel,,,,,,,,
['单卧室别墅 (One-Bedroom Villa)', '两卧室别墅 (Two-Bedroom Villa)']|symphony-villa,,,,,,,
[]|pumeria-resort,,,,,,,,
[]|villa-winson,,,,,,,,
[]|inspire-villas-by-favstay,,,,,,,,
[]|boutique-resort,,,,,,,,
[]|glam-habitat-hotel,,,,,,,,
[]|villa-140,,,,,,,,
[]|villa-bua-savan,,,,,,,,
['别墅 (Villa)']|nice-villa,,,,,,,,
[]|villa-arunsi-patong,,,,,,,,
['两卧室联体别墅 (Two-Bedroom Townhouse)']|phuket-beach-pool-villas,,,,,,,,
[]|ban-elephant-blanc,,,,,,,,
[]|villa,,,,,,,,
[]|aqua-villa-no--5,,,,,,,,
['别墅-带独立泳池 (Villa With Private Pool)']|villa-kuta-by-holiplanet,,,,,,,,
[]|villa-bukit-by-holiplanet,,,,,,,,
[]|seventh-villa,,,,,,,,
[]|villa-susu-by-holiplanet,,,,,,,,
[]|7-bedrooms-villa-with-seaview,,,,,,,,
[]|villa-lovina-by-holiplanet,,,,,,,,
[]|the-residence-villa-2-bedroom,,,,,,,,
[]|residence-villa-3-bedroom,,,,,,,,
[]|ratchamaka-by-zen-villa,,,,,,,,
[]|baba-beach-club-hotel-phang-nga,,,,,,,,
[]|kinnaree-loch-palm-golf-villa-by-chattha,,,,,,,,
[]|the-screen,,,,,,,,
['套房(1楼) (Suite - First Floor)', '套房 - 二楼 (Suite - Second Floor )', '日式风格的联排别墅- 大山 (Japanese-Style Townhouse  Oyama)', '日式风格的联排别墅 - 大池 (Japanese-Style Townhouse  Oike)']|kyoyado-usagi,,,,,
[]|small-luxury-ryugin,,,,,,,,
[]|hanakago,,,,,,,,
[]|acqua-pulita,,,,,,,,
[]|kyomachiya-stay-waka-fushimi-inari,,,,,,,,
[]|tasaki-ya,,,,,,,,
['日式联排别墅 - 无烟 (Japanese-Style Townhouse - Non-Smoking)', '双卧室联排别墅 - 禁烟 (Two-Bedroom Townhouse - Non-Smoking)']|kyoisuke-mukadeyacho,,,,,,,
[]|kamohan,,,,,,,,
[]|kyoto--yadomachi--kamishichiken,,,,,,,,
[]|kyoto--yadomachi　wakamiyagojo,,,,,,,,
[]|villa-incognito,,,,,,,,
[]|serendipity-kyoto,,,,,,,,
[]|theatre-and-library-residence--kyoto-imagumano-,,,,,,,,
[]|oyado-shogoin,,,,,,,,
[]|coto-fushimi,,,,,,,,
['独立客房 (Private Room)', '度假屋 (Holiday Home)']|jizo-house,,,,,,,
['日式风格联排别墅 (Japanese-Style Townhouse)']|rinn-rokujo-machiya,,,,,,,,
[]|guest-house-sowaka,,,,,,,,
[]|kyoto-guesthouse-oyado-kei,,,,,,,,
[]|rakurakudai-koutouen,,,,,,,,
['町屋传统别墅-可住4人 (Machiya Traditional Townhouse for 4 People)']|kyoto-fushimi-guest-house,,,,,,,,
[]|jq-villa-jurakutei,,,,,,,,
[]|ichiyo-an,,,,,,,,
[]|tateru-ann-ontomocho,,,,,,,,
[]|rinn-murasakino,,,,,,,,
['度假屋 (Holiday Home)']|rinn-harikoji-58,,,,,,,,
[]|garakuan,,,,,,,,
['双卧室套房 (Suite - 2 Bed Room)', '套房-可住4人 (Suite (4 Adults))']|yadoya-aoi,,,,,,,
[]|hosta-nijo-aoi,,,,,,,,
[]|guest-house-hanalei,,,,,,,,
['日式风格联排别墅 (Japanese-Style Townhouse)', '2 Bedroom 71 to 75 Sq M']|rinn-fushimiinari,,,,,,,
[]|koto-hananobou,,,,,,,,
['日本风格联排别墅II (Japanese-Style Townhouse II)', '一号日式联排别墅 (Japanese-Style Townhouse I)', '日本风格联排别墅IV (Japanese-Style Townhouse IV)', '日本风格联排别墅III (Japanese-Style Townhouse III)']|gion-no-yado,,,,,
[]|aya-inn-karasuma-gojo,,,,,,,,
[]|bna-gallery,,,,,,,,
[]|funaoka-an,,,,,,,,
[]|kumano-house,,,,,,,,
[]|kyo-machiya-no-yado-bettei-butsuguyacho,,,,,,,,
[]|koume-no-hanare,,,,,,,,
[]|family-house-in-demachiyanagi-25,,,,,,,,
[]|bb-2-bedroom-private-house-in-marutamachi,,,,,,,,
[]|pt-demachiyanagi-2-br-private-house,,,,,,,,
['双卧室别墅 (2 Bedroom Home)']|pt-fushimi-inari-2-br-private-house-2,,,,,,,,
[]|guest-house-mieiken-5,,,,,,,,
[]|lp-3-bedroom-house-near-ginkakuji,,,,,,,,
[]|hakuto,,,,,,,,
[]|th-2-bedroom-house-near-nijo-castle,,,,,,,,
[]|kyomachiyanoyado-794inn-kiyomizu-gojo,,,,,,,,
['日式风格联排别墅 (Japanese-Style Townhouse)']|hananoya-bettei,,,,,,,,
[]|kumomachiya-gion-holiday-house,,,,,,,,
[]|kyoto-gojo-fairyland,,,,,,,,
[]|sankara-hotel-spa-yakushima,,,,,,,,
[]|four-season-pension,,,,,,,,
[]|jeju-pent-house,,,,,,,,
[]|eco-suites,,,,,,,,
[]|pineville-pension,,,,,,,,
[]|guroomi,,,,,,,,
[]|jeju-nandere-pension,,,,,,,,
[]|weandme-pension,,,,,,,,
[]|luna-in-pension,,,,,,,,
[]|special-pension,,,,,,,,
[]|somerset-shinhwa-world,,,,,,,,
[]|haemaji-pension,,,,,,,,
[]|pelichae-pension,,,,,,,,
[]|jungmun-sunrise-hotel,,,,,,,,
[]|sweet-salt-pension,,,,,,,,
[]|sea-walk-pension,,,,,,,,
[]|saint-four-golf-resort,,,,,,,,
[]|nemo-pension,,,,,,,,
[]|aewol-paradise-pension,,,,,,,,
[]|baseball-village-pension,,,,,,,,
[]|seabiyang-village-pension,,,,,,,,
[]|halla-and-tom,,,,,,,,
[]|windstone-pension,,,,,,,,
[]|log-park-holiday-hotel,,,,,,,,
[]|right-now-pension,,,,,,,,
[]|island-ssanta-private-pension,,,,,,,,
[]|wyndham-waikiki-beach-walk,,,,,,,,
[]|valeria-mini-hotel,,,,,,,,
[]|paradise-road-tintagel,,,,,,,,
[]|residence-by-uga-escapes,,,,,,,,
[]|lake-villa,,,,,,,,
[]|villa-bolgoda,,,,,,,,
['三卧室别墅 (Three-Bedroom Villa)']|lv29,,,,,,,,
[]|mango-villa,,,,,,,,
[]|zoetry-villa-rolandi-isla-mujeres-all-inclusive,,,,,,,,
[]|sunset-royal-beach-resort-all-inclusive,,,,,,,,
['公寓 (Apartment)']|departamentos-villas-capdeviel,,,,,,,,
[]|jusandi,,,,,,,,
[]|the-seven-stars-resort,,,,,,,,
[]|springbrook-mountain-manor,,,,,,,,
[]|aaronlee-retreat,,,,,,,,
[]|tambaridge-bed-breakfast-gold-coast,,,,,,,,
[]|ruffles-lodge-and-spa-victoria-valley,,,,,,,,
[]|hillside-country-retreat,,,,,,,,
[]|meriton-suites-southport,,,,,,,,
[]|midori-villa-2,,,,,,,,
[]|midori-villa-1,,,,,,,,
[]|tranquility-cove-broadbeach,,,,,,,,
[]|la-casa-sirena-mermaid-beach,,,,,,,,
[]|ombak-villa,,,,,,,,
['标准套房 (Standard Suite)', '豪华套房 (Deluxe Suite)', '行政套房 (Executive Suite)']|sea-resort-private-unit-langkawi-lagoon,,,,,,
['假期别墅 (Vacation Home)']|white-lodge-vacation-home,,,,,,,,
[]|d’coconut-villa,,,,,,,,
['三卧室套房 (3 Bedroom Suite)']|holiday-apartment-at-kondo-istana,,,,,,,,
[]|langkawi-m-villa,,,,,,,,
[]|dvilla-guesthouse,,,,,,,,
[]|langkawi-lagoon-resort-honeymoon-suite-by-de-lagoon,,,,,,,,
[]|may-vacation-home,,,,,,,,
[]|jay’s-homestay,,,,,,,,
[]|nas-guesthouse,,,,,,,,
[]|baan-ling-noi,,,,,,,,
[]|tango-luxe-samui-beach-villa,,,,,,,,
[]|paradise-island-estate,,,,,,,,
[]|replay-pool-villa-samui,,,,,,,,
[]|samui-heritage-resort,,,,,,,,
[]|bhumlapa-garden-resort,,,,,,,,
[]|samui-boat-lagoon,,,,,,,,
[]|the-fine-place-samui,,,,,,,,
[]|chaweng-lakeview-condotel,,,,,,,,
[]|samui-baan-sukreep-resort,,,,,,,,
[]|garden-home-samui,,,,,,,,
[]|seaview-paradise-beach-and-mountain-holiday-villas-resort,,,,,,,,
[]|x2-samui-all-spa-inclusive-resort,,,,,,,,
[]|viva-vacation-resort,,,,,,,,
[]|sea-valley-hotel-spa,,,,,,,,
[]|laem-sila-resort,,,,,,,,
[]|phangka-paradise-resort,,,,,,,,
[]|synergy-samui-resort,,,,,,,,
[]|samui-honey-suite,,,,,,,,
[]|six-senses,,,,,,,,
[]|outrigger-beach-resort,,,,,,,,
[]|sareeraya-villas-suites-samui,,,,,,,,
[]|bhundhari-resort-and-spa,,,,,,,,
[]|code,,,,,,,,
[]|saree-samui-by-the-unique-collection,,,,,,,,
[]|kanda-residences-pool-villa,,,,,,,,
[]|arayaburi-boutique-resort,,,,,,,,
[]|samui-paradise-chaweng-beach-resort-spa,,,,,,,,
[]|villa-seawadee-samui,,,,,,,,
[]|floral-hotel-pool-villa,,,,,,,,
[]|villa-melitta,,,,,,,,
[]|shasa-resort-residence,,,,,,,,
[]|tongsai-grand-villas,,,,,,,,
[]|executive-pool-villa-by-baan-haad-ngam,,,,,,,,
[]|lotus-samui,,,,,,,,
[]|maryoo-samui-hotel,,,,,,,,
[]|tropica-villas-resort,,,,,,,,
[]|the-villas-by-silavadee-pool-spa-resort,,,,,,,,
[]|pool-sawat-villa-samui,,,,,,,,
[]|aqua-samui-villa-coral,,,,,,,,
[]|tides-boutique-samui-resort-spa,,,,,,,,
[]|boujis-boutique-resort,,,,,,,,
[]|kaya-mani-thai-villa-resort-samui,,,,,,,,
[]|samujana-four-bedroom-pool-villa-villa-15,,,,,,,,
[]|samujana-five-bedroom-spectacular-pool-villa-villa-20,,,,,,,,
[]|astoria-villas,,,,,,,,
[]|lamai-eric-villa-samui,,,,,,,,
[]|miskawaan-villa-gardenia,,,,,,,,
[]|villa-mojito,,,,,,,,
[]|siam-view-samui,,,,,,,,
[]|sunny-resort,,,,,,,,
[]|bhundhari-villas,,,,,,,,
[]|villa-blue-bay,,,,,,,,
[]|the-thibault-at-design-square,,,,,,,,
[]|napa-samui-villas,,,,,,,,
[]|the-pool-villas-by-peace-resort-samui,,,,,,,,
[]|sawasdee-sea-view,,,,,,,,
[]|sea-front-pool-villas-by-the-sarann,,,,,,,,
[]|villa-deluxe-1br-grand-view-chaweng,,,,,,,,
[]|khun-anna-villas,,,,,,,,
[]|alexandr-j-bophut-co-ltd,,,,,,,,
[]|aumpai-luxury,,,,,,,,
[]|samui-sea-breeze-house,,,,,,,,
[]|the-retreat-4-bed-luxury-sea-view-managed-villa,,,,,,,,
[]|villa-taling-ngam,,,,,,,,
[]|baan-sanom,,,,,,,,
[]|the-pool-villa-by-the-passage,,,,,,,,
[]|castor-villa,,,,,,,,
[]|baan-lom-talay,,,,,,,,
[]|villa-thai-tonic,,,,,,,,
[]|inasia-villa,,,,,,,,
[]|boom-bay-bungalow,,,,,,,,
[]|rocking-chair-pool-villa,,,,,,,,
[]|samui-beautiful-beach-villas,,,,,,,,
[]|villamanda,,,,,,,,
[]|villa-summer-salt,,,,,,,,
[]|my-suite,,,,,,,,
[]|le-consulat,,,,,,,,
[]|bluefins-resort,,,,,,,,
[]|buena-vida-suites-capitol,,,,,,,,
[]|lancaster-hotel,,,,,,,,
[]|sta--barbara-suites,,,,,,,,
[]|rumah-highlands-hotel,,,,,,,,
[]|panorama-de-resort,,,,,,,,
['三卧室别墅 (Three-Bedroom House)', '三卧室联排别墅 (Three-Bedroom Townhouse)']|rian-house,,,,,,,
[]|hisoler-beach-resort,,,,,,,,
[]|intosan-resort,,,,,,,,
[]|amax-guest-house,,,,,,,,
[]|allure-beach-villa,,,,,,,,
[]|som-fona-adults-only,,,,,,,,
[]|aparthotel-austria-suites,,,,,,,,
[]|residence-karlova,,,,,,,,
[]|son-tra-resort-spa,,,,,,,,
[]|the-ocean-villas,,,,,,,,
[]|banyan-tree-lang-co,,,,,,,,
[]|premier-village-danang-resort,,,,,,,,
[]|pearl-paradise-villa-danang,,,,,,,,
[]|furama-villas,,,,,,,,
[]|happy-vietnam-villa,,,,,,,,
[]|vinpearl-ocean-resort-and-villas,,,,,,,,
[]|danang-retreat-homestay,,,,,,,,
[]|the-yacht-villa,,,,,,,,
[]|mj-villa-the-ocean-villas,,,,,,,,
[]|villa-tourane,,,,,,,,
[]|charm-ocean-villa,,,,,,,,
[]|petit-villa-boutique-spa,,,,,,,,
[]|encore-angkor-villa-residence,,,,,,,,
[]|natura-resort,,,,,,,,
[]|amatao-tropical-residence,,,,,,,,
[]|petit-temple-suite-spa,,,,,,,,
[]|chateau-d-angkor-la-residence,,,,,,,,
['双卧室套房-含早餐 (2 Bedroom Suite With Breakfast)']|three-rooms-angkor-orchid-secret-villa,,,,,,,,
[]|villa-nisay,,,,,,,,
[]|villa-amalia,,,,,,,,
[]|la-riviere-d--angkor,,,,,,,,
[]|tresor-d’angkor-suite,,,,,,,,
[]|phum-baitang-resort,,,,,,,,
[]|de-sarann-villa,,,,,,,,
[]|isann-lodge,,,,,,,,
[]|amansara-resort,,,,,,,,
[]|tropicana-residence-resort,,,,,,,,
[]|templation-hotel,,,,,,,,
[]|java-wooden-villa-by-aic,,,,,,,,
[]|marvel-holiday-boutique,,,,,,,,
[]|wooden-residence-villa,,,,,,,,
[]|marrison-boutique-spa--slor-kram,,,,,,,,
[]|peacetree-private-villas,,,,,,,,
[]|yuletong-international-firstvilla,,,,,,,,
[]|cambana-residence,,,,,,,,
[]|annie-home,,,,,,,,
['高级双人间 - 带免费接客服务 (Superior Double Room - Free Pickup)', '豪华双人间 - 免费接机服务 (Deluxe Double Room - Free Pickup)', '池景豪华双人房-免费接机服务 (Deluxe Double Pool View - free airport pick up)', '池畔豪华套房 (Deluxe Suite Pool Side)']|koirn-lee-boutique,,,,,
[]|hailasa-villa,,,,,,,,
[]|luxury-private-poolvilla,,,,,,,,
['两卧室别墅 (Two-Bedroom Villa)']|modern-white-villa,,,,,,,,
[]|lynnaya-luxury-resort,,,,,,,,
[]|ma-maison-khmer,,,,,,,,
['两卧室别墅 (Two-Bedroom Villa)', '三卧室别墅 (Three-Bedroom Villa)']|peacetree,,,,,,,
[]|5-elements-boutique-hotel,,,,,,,,
[]|lace-boutique-hotel,,,,,,,,
[]|austin-heights-golf-hotel-resort,,,,,,,,
[]|a-little-villa,,,,,,,,
[]|baan-malisa-villa,,,,,,,,
['一卧室别墅 (One Bedroom Villa)']|leelawadee-garden-resort,,,,,,,,
['一卧室别墅 (One Bedroom Villa)']|nakamanda-resort-spa-krabi,,,,,,,,
[]|oscar-villa-aonang,,,,,,,,
[]|thalane-resort,,,,,,,,
[]|pimann-buri-pool-villa-resort,,,,,,,,
[]|buabaan-villa-krabi,,,,,,,,
[]|seava-house-ao-nang,,,,,,,,
[]|baan-andaman-villa,,,,,,,,
[]|poonsiri-villa-aonang,,,,,,,,
[]|amatapura-beach-villa-1,,,,,,,,
[]|baan-manu-chang-villa,,,,,,,,
[]|the-unique-private-pool-villa,,,,,,,,
['三卧室泳池别墅 (3 Bedroom Pool Villa)']|alisea-pool-villas,,,,,,,,
[]|the-best-ao-nang-villas,,,,,,,,
[]|the-nine-thipthara-klongson-resort-krabi,,,,,,,,
[]|pooltara-resort,,,,,,,,
[]|koh-klang-riverside-homestay,,,,,,,,
[]|baan-piengfah,,,,,,,,
[]|blue-nara,,,,,,,,
[]|aonang-residence,,,,,,,,
[]|phi-phi-spirit-house,,,,,,,,
[]|seava-private-house,,,,,,,,
[]|villas-s-argamassa,,,,,,,,
[]|hostal-la-torre-ibiza-cap-negret,,,,,,,,
[]|vinpearl-luxury,,,,,,,,
[]|nha-trang-beach-front-apartment,,,,,,,,
[]|merperle-sunset-villa--hon-tam-island,,,,,,,,
[]|vinpearl-long-beach-villas,,,,,,,,
[]|vinpearl-golf-land-villas,,,,,,,,
[]|celina-bayfront-centre,,,,,,,,
[]|vinpearl-bay-villas,,,,,,,,
[]|d26-hotel,,,,,,,,
[]|away-hua-hin-pranburi-boutique-resort,,,,,,,,
[]|la-a-natu-bed-bakery,,,,,,,,
[]|pranburi-cabana-resort,,,,,,,,
[]|ruenkanok-thaihouse-resort-hua-hin,,,,,,,,
[]|the-hen-hua-hin,,,,,,,,
[]|zea-za-garden-hua-hin,,,,,,,,
[]|paradee-resort-hua-hin,,,,,,,,
[]|movenpick-asara-resort-spa-hua-hin,,,,,,,,
[]|v-villas-hua-hin,,,,,,,,
[]|kiri--nakara-villa-hua-hin,,,,,,,,
[]|the-spirit-hua-hin-resort,,,,,,,,
[]|the-verona-hua-hin,,,,,,,,
[]|baan-nara-village-pool-villa-by-kanta,,,,,,,,
[]|sheraton-hua-hin-pranburi-villas,,,,,,,,
[]|milano-hua-hin-hotel,,,,,,,,
[]|v-exclude-at-casa-seaside-holiday-house,,,,,,,,
[]|black-mountain-hua-hin-resort,,,,,,,,
[]|kabantamor-resort-hua-hin,,,,,,,,
[]|sivana-gardens-pool-villas-hua-hin,,,,,,,,
[]|baan-sanpleum-beachfront-condominium,,,,,,,,
[]|marisa-villa-huahin,,,,,,,,
[]|baan-pleon-view-by-ratcharin,,,,,,,,
[]|khao-tao-lake-and-beach-villas,,,,,,,,
[]|the-royal-princess-hua-hin-by-montana,,,,,,,,
[]|bc-summer-beach,,,,,,,,
[]|whiterose-poolvilla,,,,,,,,
[]|baan-rao,,,,,,,,
[]|avaron-pool-villa,,,,,,,,
[]|ban-prew-lom,,,,,,,,
[]|we-villa-by-favstay,,,,,,,,
[]|blue-sky-pool-villa,,,,,,,,
[]|pool-villa-by-g,,,,,,,,
[]|baan-punna2-hua-hin-pool-villa,,,,,,,,
[]|baan-punna-hua-hin-pool-villa,,,,,,,,
[]|the-legacy-huahin-pool-villa,,,,,,,,
[]|boatlodge-poolvilla-hua-hin,,,,,,,,
[]|takiab-beach-pool-villa,,,,,,,,
[]|pitchayapa-hua-hin-pool-villa-holiday,,,,,,,,
[]|maui-banyan-vacation-club,,,,,,,,
[]|the-westin-nanea-ocean-villas--ka-anapali,,,,,,,,
[]|paniolo-greens-resort,,,,,,,,
[]|holua-resort,,,,,,,,
[]|kona-coast-resort,,,,,,,,
[]|marriott’s-waikoloa-ocean-club,,,,,,,,
[]|conrad-rangali-island-maldives,,,,,,,,
[]|vivanta-by-taj-coral-reef-maldives,,,,,,,,
[]|sun-aqua-vilureef-maldives,,,,,,,,
[]|the-residence-maldives,,,,,,,,
[]|royal-island-resort-spa-maldives,,,,,,,,
['海滨别墅 (Beach Front Villa)', '水上别墅 (Water Villa)', '双卧室套房 (2 Bedroom Suite)', '海滩别墅 (Beach Villa)']|medhufushi-island-resort,,,,,
[]|lily-beach-resort-spa-maldives,,,,,,,,
['海滩别墅-带水疗浴缸|含3餐 (Beach Villa with Jacuzzi Full Board)', '海滩别墅-含三餐 (Beach Villa Full Board)', '海滩高级别墅-带水疗浴缸|含三餐 (Superior Beach Villa with Jacuzzi Full Board)', '豪华海滩别墅-带水疗浴缸|含3餐 (Deluxe Beach Villa with Jacuzzi Full Board)', '双卧室套房 (Two Bedroom Suite)', '水上别墅-含三餐|带水疗浴缸 (Water Villa with Jacuzzi Full Board)', '豪华水上别墅 (Deluxe Water Villa)', '泳池别墅 (Pool Villa)', 'Thundi水上别墅-带独立泳池 (Thundi Water Villa with Private Pool)']|kuramathi-maldives
[]|jumeirah-vittaveli-maldives,,,,,,,,
[]|filitheyo-island-resort,,,,,,,,
['花园别墅 (Garden Villa)', '海滩别墅-带独立泳池 (Beach Villa with Private Pool)', '海滩套房-有泳池 (Beach Suite with Pool)', '日落海滩套房 (Sunset Beach Suite)', '带游泳池的海洋别墅 (Ocean Villa with Pool)', '日落环礁湖套房 (Sunset Lagoon Suite)', '日落海景套房 (Sunset Ocean Suite)', '海洋家庭套房 (Family Ocean Suite)', '皇家海洋套房 (Royal Ocean Suite)']|ayada-maldives
[]|adaaran-prestige-vadoo-maldives,,,,,,,,
[]|adaaran-prestige-water-villas-maldives--premium-all-inclusive,,,,,,,,
[]|atmosphere-kanifushi-maldives-a-premium-all-inclusive-resort,,,,,,,,
[]|maafushivaru-maldives,,,,,,,,
[]|vakarufalhi-island-resort,,,,,,,,
[]|cheval-blanc-randheli-maldives,,,,,,,,
[]|oblu-by-atmosphere-at-helengeli-all-inclusive-maldives,,,,,,,,
[]|clubmed-fino-maldives,,,,,,,,
[]|herathera-island-resort,,,,,,,,
[]|cocoon-maldives,,,,,,,,
[]|finolhu-maldives,,,,,,,,
[]|mercure-kooddoo-resort-maldives,,,,,,,,
[]|kudafushi-resort-spa,,,,,,,,
[]|ozen-by-atmosphere-at-maadhoo,,,,,,,,
[]|milaidhoo-island-maldives,,,,,,,,
[]|amaya-kuda-rah-maldives,,,,,,,,
[]|drift-thelu-veliga-retreat,,,,,,,,
[]|ancasa-residences,,,,,,,,
[]|beyond-resort–-adults-only,,,,,,,,
[]|laguna-villas-yao-noi,,,,,,,,
['别墅 (Home)']|otani-house-traditional-japanese-house-perfect-for-big-group,,,,,,,,
[]|discovery-parks-–,,,,,,,,
[]|pullman,,,,,,,,
[]|sandman-suites-guildford,,,,,,,,
[]|yarra-valley-chateau-yering-historic-house-hotel,,,,,,,,
[]|villas-paraiso-del-mar,,,,,,,,
[]|casasandra-boutique-hotel,,,,,,,,
[]|comfort-suites,,,,,,,,
[]|bayhill-inn,,,,,,,,
[]|springhill-suites-by-marriott-international-airport,,,,,,,,
[]|comfort-suites,,,,,,,,
[]|homewood-suites-by-hilton,,,,,,,,
[]|comfort-suites-chicago-oakbrook-terrace,,,,,,,,
[]|chicago-marriott-suites,,,,,,,,
[]|springhill-suites-downtown,,,,,,,,
[]|towneplace-suites-by-marriott-seattle-southcenter,,,,,,,,
[]|americas-best-value-inn,,,,,,,,
[]|blue-tree-resort-at-lake-buena-vista,,,,,,,,
[]|sheraton-vistana-resort-villas,,,,,,,,
[]|quality-suites-lake-buena-vista-near-walt-disney-world,,,,,,,,
[]|clarion-suites-maingate,,,,,,,,
[]|comfort-suites,,,,,,,,
[]|towneplace-suites-orlando-east/ucf,,,,,,,,
[]|marriott-s-sabal-palms,,,,,,,,
[]|comfort-suites-airport,,,,,,,,
[]|sheraton-suites-airport-hotel,,,,,,,,
[]|bluegreen-vacations-the-fountains--ascend-resort-collection,,,,,,,,
[]|club-orlando,,,,,,,,
[]|buena-vista-suites,,,,,,,,
[]|magic-village-resort,,,,,,,,
[]|club-de-soleil-all-suite-resort,,,,,,,,
[]|rio-all-suite-hotel-casino,,,,,,,,
[]|vdara-hotel-spa,,,,,,,,
[]|springhill-suites-convention-center,,,,,,,,
[]|towneplace-suites-by-marriott-las-vegas,,,,,,,,
[]|sunrise-inn,,,,,,,,
[]|worldmark-boulevard,,,,,,,,
[]|wyndham-grand-desert,,,,,,,,
[]|polo-towers-by-raintree,,,,,,,,
[]|suites-at-mgm-signature,,,,,,,,
[]|extended-stay-america-las-vegas-valley-view,,,,,,,,
[]|a-a-a-hotel-suites-at-signature-condo-hotel,,,,,,,,
[]|springhill-suites-o’hare,,,,,,,,
[]|chicago-marriott-suites-o-hare,,,,,,,,
[]|comfort-suites-michigan-avenue,,,,,,,,
[]|sonesta-es-suites-chicago-schaumburg,,,,,,,,
[]|hawthorn-suites-by-wyndham-northbrook,,,,,,,,
[]|hawthorn-suites-dulles-north,,,,,,,,
[]|comfort-suites-the-villages,,,,,,,,
[]|candlewood-suites-chicago-waukegan,,,,,,,,
[]|comfort-suites,,,,,,,,
[]|comfort-suites,,,,,,,,
[]|the-mutiny-luxury-suites-hotel,,,,,,,,
[]|metropole-south-beach-miami,,,,,,,,
[]|marriott-s-villas-at-doral,,,,,,,,
[]|doral-inn-suites-airport-west,,,,,,,,
[]|fortune-house-hotel-suites,,,,,,,,
[]|tides-south-beach,,,,,,,,
[]|the-alexander-hotel,,,,,,,,
[]|suites-on-south-beach,,,,,,,,
[]|ramada-miami-airport-north,,,,,,,,
[]|boulan-south-beach,,,,,,,,
[]|villa-bagatelle,,,,,,,,
[]|nassau-suite-hotel,,,,,,,,
